UnixTimeStamp,Value (Wei),close
1598659200,20930232558,23.64
1598832000,20233009709,24.74
1598918400,28523076923,24.71
1599004800,26345407250,20.37
1599091200,30682402101,21.03
1599177600,27421633565,19.49
1599350400,22238405263,22.46
1599436800,21650198231,23.26
1599523200,20212697760,24.52
1599609600,20304665970,24.51
1599696000,21190565784,25.42
1599782400,26187158734,28.53
1599868800,25671454944,31.18
1599955200,25843072130,31.16
1600041600,42648225103,27.11
1600128000,33800627645,27.85
1600214400,28222539695,27.1
1600300800,25756947970,27.67
1600387200,25591573291,27.2
1600473600,31242850523,26.37
1600560000,28453012522,23.02
1600646400,24635377936,24.05
1600732800,33637294750,22.82
1600819200,24451414805,24.57
1600905600,29090268418,24.68
1600992000,23054663600,26.2
1601078400,22176524452,26.25
1601164800,22481721889,26.98
1601251200,23769512809,28.83
1601337600,26188512992,29.34
1601424000,22994360235,27.46
1601510400,23461202417,27.33
1601596800,23148075656,28.24
1601683200,21959248786,29.03
1601769600,21755157536,28.61
1601856000,22859515814,27.71
1601942400,25725439049,27.71
1602028800,23057105090,27.71
1602115200,24224526775,28.4
1602201600,23038694360,28.41
1602288000,21936636722,28.54
1602374400,21484269057,30.72
1602460800,22832352029,30.73
1602547200,22773470224,30.87
1602633600,22743718969,31.37
1602720000,27954649838,30
1602806400,22375637311,30.25
1602892800,21787762684,30.68
1602979200,22052686160,29.92
1603065600,23103744742,28.84
1603152000,22769750127,29.79
1603238400,22983768723,30.71
1603324800,23930739863,30.65
1603411200,24175986855,30.66
1603497600,21911885572,30.16
1603584000,21943730018,31.08
1603670400,23192443085,31.54
1603756800,22394329263,30.37
1603843200,22929258875,29.87
1603929600,22741503978,28.52
1604016000,22782040439,28.52
1604102400,22809601452,28.51
1604188800,21963096032,27.85
1604275200,22970727958,26.9
1604361600,22380132972,26.98
1604448000,22132545574,27.72
1604534400,22697986017,29.05
1604620800,22288498781,27.78
1604707200,22464813646,28.42
1604793600,21454023087,28.11
1604880000,21922421425,28.22
1604966400,21854629704,28.02
1605052800,23072565682,27.75
1605139200,22937013580,28.22
1605225600,23485920678,27.92
1605312000,22239233995,27.68
1605398400,22107798057,27.99
1605484800,22774064340,28.63
1605571200,24125797460,28.1
1605657600,23277651218,28.16
1605744000,22513766048,28.96
1605830400,23904289941,30.53
1605916800,22998016946,30.02
1606003200,23111414179,31
1606089600,23102980068,33.87
1606176000,24729239422,31.29
1606262400,22753877396,28.25
1606348800,25864705970,28.49
1606435200,21566325437,29.18
1606521600,20987741291,30.12
1606608000,21060776679,31.48
1606694400,21694472804,30.16
1606780800,22325184047,30.3
1606867200,21268631318,30.73
1606953600,21515265119,29.02
1607040000,21970909427,29.75
1607126400,21908265080,29.51
1607212800,21922128588,29.39
1607299200,21880064127,27.67
1607385600,22249822679,28.16
1607472000,22508608144,27.67
1607558400,21708309217,27.34
1607644800,22372594016,28.17
1607731200,21597807210,29.12
1607817600,21502172151,30.03
1607904000,22890600630,29.53
1607990400,23239803847,30.55
1608076800,23866940840,30.24
1608163200,24855907823,30.96
1608249600,22405439774,33.31
1608336000,22556003354,34.26
1608422400,23170806482,32.18
1608508800,23073035040,33.54
1608595200,22054754036,31.19
1608681600,22918912670,32.5
1608768000,21904153440,33.18
1608854400,22137981551,33.56
1608940800,21631559462,33.6
1609027200,22690725817,35.88
1609113600,22499222903,39.04
1609200000,24968330267,38.13
1609286400,24495796838,37.4
1609372800,22465132904,37.76
1609459200,22787693004,38.29
1609545600,23141134343,41.36
1609632000,23699285034,41.1
1609718400,24146297683,41.9
1609804800,23397630629,42.27
1609891200,22767755113,43.62
1609977600,23757435300,42.38
1610064000,23320754031,43.94
1610150400,22420128101,42.44
1610236800,22198159274,38.16
1610323200,24268331789,38.25
1610409600,22137258706,40.15
1610496000,22361896866,41.86
1610582400,23412422229,40.87
1610668800,23629473259,43.09
1610755200,23410406244,45.91
1610841600,24176515311,45.34
1610928000,24109981284,42.51
1611014400,23928294882,42.6
1611100800,23448589192,38.67
1611187200,23635308995,40.9
1611273600,23581112363,40.9
1611360000,22958222397,41.87
1611446400,23749627465,41.76
1611532800,23763932357,41.78
1611619200,23239642287,41.01
1611705600,23284663506,42.61
1611792000,23948430417,42.88
1611878400,24384469906,44.82
1611964800,24244437118,44.38
1612051200,24051282908,51.48
1612137600,26264086210,51.08
1612224000,26877628667,52.22
1612310400,24451656852,56.03
1612396800,22708461096,67.62
1612483200,22236169471,72.92
1612569600,21888884123,68.45
1612656000,20584542255,79.92
1612742400,20537923513,107.67
1612828800,21407206652,128.96
1612915200,21342369989,124.05
1613001600,15824143985,136.9
1613088000,15793110619,133.4
1613174400,15321585840,136.08
1613260800,15048819573,129.86
1613347200,16649093498,130.09
1613433600,16489780455,165.54
1613520000,16510779738,195.58
1613606400,16112049605,333.36
1613692800,16030375826,254.4
1613779200,16753944526,294.76
1613865600,15584619398,267.36
1613952000,16551389563,231.78
1614038400,18394164418,254.46
1614124800,15436426773,234.57
1614211200,13867959149,221.71
1614297600,13757219203,225.74
1614384000,13210656560,210.55
1614470400,13249574972,254.93
1614556800,12933197654,239.98
1614643200,13000777771,240.78
1614729600,12595772184,229.68
1614816000,12567811849,225.63
1614902400,12448908537,226.42
1614988800,12802888309,239.94
1615075200,12723293629,240.7
1615161600,12402210884,293.65
1615248000,13864108341,278.68
1615334400,13241831197,290.15
1615420800,13088281759,263.21
1615507200,13692294672,276.04
1615593600,12967273389,263.31
1615680000,13541037397,254.61
1615766400,13351951465,258.5
1615852800,13526968684,269.92
1615939200,13854686060,261.01
1616025600,14188072039,263.13
1616112000,14190230806,264.48
1616198400,13923338550,264.67
1616284800,14341476856,254.95
1616371200,14775810105,255.25
1616457600,15132207498,248.44
1616544000,14628055587,234.4
1616630400,16326196263,255.18
1616716800,15904329721,256.01
